n_pressed,held,line_A,line_B,line_C,adc_A,adc_B,adc_C,n_masked,masked,fully_observable
3,CRUISE  −  BIG + CRUISE  CANCEL + DOWNHILL  +,CRUISE  −  BIG,CRUISE  CANCEL,DOWNHILL  +,58,58,350,0,,yes
3,CRUISE  −  BIG + FOLLOW DIST  + + CRUISE  RESUME,CRUISE  −  BIG,FOLLOW DIST  +,idle,58,133,682,1,CRUISE  RESUME,no
3,CRUISE  −  BIG + FOLLOW DIST  + + FOLLOW DIST  −,CRUISE  −  BIG,FOLLOW DIST  +,idle,58,133,682,1,FOLLOW DIST  −,no
3,CRUISE  −  BIG + FOLLOW DIST  + + DOWNHILL  CANCEL,CRUISE  −  BIG,FOLLOW DIST  +,DOWNHILL  CANCEL,58,133,58,0,,yes
3,CRUISE  −  BIG + FOLLOW DIST  + + DOWNHILL  −,CRUISE  −  BIG,FOLLOW DIST  +,DOWNHILL  −,58,133,133,0,,yes
3,CRUISE  −  BIG + FOLLOW DIST  + + DOWNHILL  RESUME,CRUISE  −  BIG,FOLLOW DIST  +,DOWNHILL  RESUME,58,133,217,0,,yes
3,CRUISE  −  BIG + FOLLOW DIST  + + DOWNHILL  +,CRUISE  −  BIG,FOLLOW DIST  +,DOWNHILL  +,58,133,350,0,,yes
3,CRUISE  −  BIG + CRUISE  RESUME + FOLLOW DIST  −,CRUISE  −  BIG,CRUISE  RESUME,idle,58,217,682,1,FOLLOW DIST  −,no
3,CRUISE  −  BIG + CRUISE  RESUME + DOWNHILL  CANCEL,CRUISE  −  BIG,CRUISE  RESUME,DOWNHILL  CANCEL,58,217,58,0,,yes
3,CRUISE  −  BIG + CRUISE  RESUME + DOWNHILL  −,CRUISE  −  BIG,CRUISE  RESUME,DOWNHILL  −,58,217,133,0,,yes
3,CRUISE  −  BIG + CRUISE  RESUME + DOWNHILL  RESUME,CRUISE  −  BIG,CRUISE  RESUME,DOWNHILL  RESUME,58,217,217,0,,yes
3,CRUISE  −  BIG + CRUISE  RESUME + DOWNHILL  +,CRUISE  −  BIG,CRUISE  RESUME,DOWNHILL  +,58,217,350,0,,yes
3,CRUISE  −  BIG + FOLLOW DIST  − + DOWNHILL  CANCEL,CRUISE  −  BIG,FOLLOW DIST  −,DOWNHILL  CANCEL,58,350,58,0,,yes
3,CRUISE  −  BIG + FOLLOW DIST  − + DOWNHILL  −,CRUISE  −  BIG,FOLLOW DIST  −,DOWNHILL  −,58,350,133,0,,yes
3,CRUISE  −  BIG + FOLLOW DIST  − + DOWNHILL  RESUME,CRUISE  −  BIG,FOLLOW DIST  −,DOWNHILL  RESUME,58,350,217,0,,yes
3,CRUISE  −  BIG + FOLLOW DIST  − + DOWNHILL  +,CRUISE  −  BIG,FOLLOW DIST  −,DOWNHILL  +,58,350,350,0,,yes
3,CRUISE  −  BIG + DOWNHILL  CANCEL + DOWNHILL  −,CRUISE  −  BIG,idle,DOWNHILL  CANCEL,58,682,58,1,DOWNHILL  −,no
3,CRUISE  −  BIG + DOWNHILL  CANCEL + DOWNHILL  RESUME,CRUISE  −  BIG,idle,DOWNHILL  CANCEL,58,682,58,1,DOWNHILL  RESUME,no
3,CRUISE  −  BIG + DOWNHILL  CANCEL + DOWNHILL  +,CRUISE  −  BIG,idle,DOWNHILL  CANCEL,58,682,58,1,DOWNHILL  +,no
3,CRUISE  −  BIG + DOWNHILL  − + DOWNHILL  RESUME,CRUISE  −  BIG,idle,DOWNHILL  −,58,682,133,1,DOWNHILL  RESUME,no
3,CRUISE  −  BIG + DOWNHILL  − + DOWNHILL  +,CRUISE  −  BIG,idle,DOWNHILL  −,58,682,133,1,DOWNHILL  +,no
3,CRUISE  −  BIG + DOWNHILL  RESUME + DOWNHILL  +,CRUISE  −  BIG,idle,DOWNHILL  RESUME,58,682,217,1,DOWNHILL  +,no
3,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  +  SMALL,CRUISE  −  SMALL,idle,idle,133,682,682,2,"CRUISE  +  BIG, CRUISE  +  SMALL",no
3,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  CANCEL,CRUISE  −  SMALL,CRUISE  CANCEL,idle,133,58,682,1,CRUISE  +  BIG,no
3,CRUISE  −  SMALL + CRUISE  +  BIG + FOLLOW DIST  +,CRUISE  −  SMALL,FOLLOW DIST  +,idle,133,133,682,1,CRUISE  +  BIG,no
3,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  RESUME,CRUISE  −  SMALL,CRUISE  RESUME,idle,133,217,682,1,CRUISE  +  BIG,no
3,CRUISE  −  SMALL + CRUISE  +  BIG + FOLLOW DIST  −,CRUISE  −  SMALL,FOLLOW DIST  −,idle,133,350,682,1,CRUISE  +  BIG,no
3,CRUISE  −  SMALL + CRUISE  +  BIG + DOWNHILL  CANCEL,CRUISE  −  SMALL,idle,DOWNHILL  CANCEL,133,682,58,1,CRUISE  +  BIG,no
3,CRUISE  −  SMALL + CRUISE  +  BIG + DOWNHILL  −,CRUISE  −  SMALL,idle,DOWNHILL  −,133,682,133,1,CRUISE  +  BIG,no
3,CRUISE  −  SMALL + CRUISE  +  BIG + DOWNHILL  RESUME,CRUISE  −  SMALL,idle,DOWNHILL  RESUME,133,682,217,1,CRUISE  +  BIG,no
3,CRUISE  −  SMALL + CRUISE  +  BIG + DOWNHILL  +,CRUISE  −  SMALL,idle,DOWNHILL  +,133,682,350,1,CRUISE  +  BIG,no
3,CRUISE  −  SMALL + CRUISE  +  SMALL + CRUISE  CANCEL,CRUISE  −  SMALL,CRUISE  CANCEL,idle,133,58,682,1,CRUISE  +  SMALL,no
3,CRUISE  −  SMALL + CRUISE  +  SMALL + FOLLOW DIST  +,CRUISE  −  SMALL,FOLLOW DIST  +,idle,133,133,682,1,CRUISE  +  SMALL,no
